"","Brand","ItemDescription"
"638","Mambo","Sachets"
"639","Martinal","Sachets"
"640","Sodicam","yoghurt packaging"
"641","Fermencam","Sachets"
"642","Tampico","Sachets"
"643","Saba","detergent"
"644","Mayor","Groundnut oil bottle"
"645","Sivoderme","Body lotion bottle"
"646","Prudence Plus","condoms"
"647","Broli","Sachets"
"648","Broli","Groundnut oil bottle"
"649","Planet","bottle drink"
"650","Parfic Derma","Body lotion bottle"
"651","Azur","Groundnut oil bottle"
"652","Durex","condoms"
"653","Naya","buiscuit wraps"
"654","Camlait","yoghurt packaging"
"655","Sodicam","yoghurt packaging"
"656","Parle G","biscuit packaging wrap"
"657","Panzani","spaghetti packaging"
"658","Honig","Spice pepper"
"659","La Pasta","spaghetti packaging"
"660","Tino","Sachets"
"661","Sano","Mineral water bottle"
"662","Azam Energy","Plastic bottle"
"663","Coca Cola","Plastic bottle"
"664","Inyange","Plastic bottle"
"665","Energy","can"
"666","Colgate","toothpaste"
"667","Unknown","Plastic Bags"
"668","Nile","Plastic bottle"
"669","Huye","Plastic bottle"
"670","Blue Band","box"
"671","Unknown","box"
"672","Nyiragarama","Plastic bottle"
"673","Azam Energy","Plastic bottle"
"674","Venden","PET bottle"
"675","Narvessen","PET bottle"
"676","Rimi","PET bottle"
"677","Shwerwood Cider","PET bottle"
"678","Evian","PET bottle"
"679","Vichy","PET bottle"
"680","Kubus","PET bottle"
"681","Bauskas Alus","PET bottle"
"682","Lāčplēsis","PET bottle"
"683","Mangaļi","PET bottle"
"684","Līvu Senču","PET bottle"
"685","Unknown","PET bottle"
"686","Cappy","PET bottle"
"687","Zelta","PET bottle"
"688","Freet Active","PET bottle"
"689","Zilevskaya","PET bottle"
"690","Baltais Seiks","PET bottle"
"691","Nasa Marka","PET bottle"
"692","Obolonj","PET bottle"
"693","Miezītis","PET bottle"
"694","Rečiskoje Svetloje","PET bottle"
"695","Walter","PET bottle"
"696","Ulmanlaiku Kvass","PET bottle"
"697","Enjoy","PET bottle"
"698","Pepsi","PET bottle"
"699","Akvile Still","PET bottle"
"700","Smiltenes Piena Speks","PET bottle"
"701","Borjomi","PET bottle"
"702","Neptunas","PET bottle"
"703","Long Drink Cesu","PET bottle"
"704","Sprite","PET bottle"
"705","Kristaline","PET bottle"
"706","Miranda","PET bottle"
